AuthorID,Author,Date,Content,Attachments,Reactions
7.57355E+17,neko neko#4061,2020-09-24 9:30,STC ROKU 165p 9/25 @.25 @here,,BullTrades (1)
7.57355E+17,neko neko#4061,2020-09-24 9:36,"BTO ZM 215c 9/25 @.85 @here (risky, scalp)",,BullTrades (1)
3.96702E+17,Father#4214,2020-09-24 9:36,BTO TSLA 405c 9/25 @ 6 @here,,BullTrades (1)
3.96702E+17,Father#4214,2020-09-24 9:36,scalping^,,
7.57355E+17,neko neko#4061,2020-09-24 9:38,typo... sorry i'm all over the place today.,https://cdn.discordapp.com/attachments/738943464259059752/758713982864851014/Screen_Shot_2020-09-24_at_8.38.18_AM.png,
3.96702E+17,Father#4214,2020-09-24 9:42,STC BA 160c 9/25 @ 0.2 @here,,BullTrades (2)
3.96702E+17,Father#4214,2020-09-24 9:57,STC TSLA 405c 9/25 @ 7.3 @here,,"BullTrades (2),vince (3)"
7.57355E+17,neko neko#4061,2020-09-24 10:02,BTO ROKU 195c 9/25 @.5 @here,,"BullTrades (4),trumppump (2),💯 (1)"
4.80583E+17,DCruz#3069,2020-09-24 10:05,MSFT 205c from earlier are almost ITM congrats if you’re still in 🙂 @here,,👍 (1)
7.57355E+17,neko neko#4061,2020-09-24 10:08,LULU at 25%..,,
7.57355E+17,neko neko#4061,2020-09-24 10:16,STC ZM 215c 9/25 @1.15 small accounts take some out @here. (sorry i know the strike was wrong),,BullTrades (1)
3.96702E+17,Father#4214,2020-09-24 10:26,BTO TSLA 405c 9/25 @ 6 @here,,"BullTrades (1),vince (6),ElonP (1)"
3.96702E+17,Father#4214,2020-09-24 10:26,going in again 🙂,,
7.57355E+17,neko neko#4061,2020-09-24 11:00,BTO NKE 129c 9/25 @.43 @here (scalp),,"BullTrades (4),🏃‍♂️ (3)"
7.57355E+17,neko neko#4061,2020-09-24 11:28,"ILMN players, take out half at 100% please. we are going to let the rest do it's thing.",,👍 (4)
3.96702E+17,Father#4214,2020-09-24 11:31,STC TSLA 405c 9/25 @ 6.9 @here,,BullTrades (4)
7.57355E+17,neko neko#4061,2020-09-24 11:56,STC ROKU 195c 9/25 @.27 @here sl.,,BullTrades (2)
4.80583E+17,DCruz#3069,2020-09-24 11:59,BTO V 195p 9/25 @.6 (scalp) @here,,BullTrades (2)
4.80583E+17,DCruz#3069,2020-09-24 11:59,SL break of 197.75,,
4.80583E+17,DCruz#3069,2020-09-24 12:05,STC V 195p 9/25 @.72 @here,,BullTrades (2)
